file_name,section,speaker_name,speaker_role,start,stop,text,total_time
2007.07-21,0,john_g_roberts_jr,scotus_justice,0.0,13.324,"We'll hear argument first today in Case 07-21 and 07-25, Crawford v. Marion County Election Board and Indiana Democratic Party v. Secretary Rokita.",13.324
2007.07-21,0,john_g_roberts_jr,scotus_justice,13.324,14.341,Mr. Smith.,1.0169999999999995
2007.07-21,0,paul_m_smith,,14.341,23.948,"Mr. Chief Justice, and may it please the Court: This case involves a law that directly burdens our most fundamental right, the right to vote.",9.607000000000001
2007.07-21,0,paul_m_smith,,23.948,36.856,Those Indiana voters who lack the identification now required by the new photo ID law must overcome substantial practical and financial burdens before they can continue to exercise their constitutional right.,12.908000000000001
2007.07-21,0,paul_m_smith,,36.856,63.256,"Now, the State says that those burdens are justified by the need to stamp out the scourge of voter impersonation fraud at the polls, but this Court has made clear many times that such a justification should not just be accepted at face value, but instead it should be scrutinized to assure that the claimed State interest is both real and sufficiently weighty to justify the burden being imposed on constitutional rights.",26.4
2007.07-21,0,antonin_scalia,scotus_justice,63.256,66.642,"Before... before we get to that, can we talk about standing a little?",3.3859999999999957
2007.07-21,0,antonin_scalia,scotus_justice,66.642,70.71,Who are the... who are the complainants here?,4.067999999999998
2007.07-21,0,paul_m_smith,,70.71,77.6,"There are many plaintiffs, Your Honor, including the ones that the courts below found have standing, the Democratic Party.",6.890000000000001
2007.07-21,0,antonin_scalia,scotus_justice,77.6,79.785,Courts below are sometimes wrong.,2.1850000000000023
2007.07-21,0,paul_m_smith,,79.785,84.37,"Yes, Your Honor, absolutely, and especially when I'm a petitioner I agree with you on that.",4.585000000000008
2007.07-21,0,paul_m_smith,,84.37,97.414,"But in this case, Your Honor, the Democratic Party was found to have standing correctly, I believe, on at least two grounds, associational standing as well as what you might call haven standing, the organizational interest being impaired by virtue of this law.",13.043999999999997
2007.07-21,0,antonin_scalia,scotus_justice,97.414,101.549,"Well, they still have to identify individuals who are members.",4.135000000000005
2007.07-21,0,antonin_scalia,scotus_justice,101.549,105.434,"Now, what does it take to be a member of the Democratic Party here?",3.884999999999991
2007.07-21,0,paul_m_smith,,105.434,111.255,"Your Honor, in Indiana you become a member of the Democratic Party by participating in party affairs.",5.820999999999998
2007.07-21,0,paul_m_smith,,111.255,122.812,"They did identify members who are activists, who are poll workers, and that's why the district court said that as, as to the equal protection claim those people were sufficient to satisfy associational standing.",11.557000000000002
2007.07-21,0,antonin_scalia,scotus_justice,122.812,129.466,I thought... I thought they took the position that anybody who voted or intended to vote Democratic is a member of the Democratic Party.,6.654000000000011
2007.07-21,0,paul_m_smith,,129.466,134.27,"Well, there are different degrees of membership, different ways to become a member, as this Court has recognized--",4.804000000000002
2007.07-21,0,antonin_scalia,scotus_justice,134.27,153.748,Is there any way in which you can say... and I thought this was the theory of associational standing... that this individual has voluntarily given this organization the right to represent that person for particular purposes?,19.47799999999998
2007.07-21,0,paul_m_smith,,153.748,158.216,"--There is no formal method of induction as you would have in the Elk's Club or something, Your Honor.",4.468000000000018
2007.07-21,0,paul_m_smith,,158.216,162.085,But there clearly are methods by which you become a participant in the affairs of the party.,3.8689999999999998
2007.07-21,0,paul_m_smith,,162.085,168.774,"For example, to vote in the primary you have to aver that you have either supported Democratic candidates in the last election or intend to in a future election.",6.688999999999993
2007.07-21,0,antonin_scalia,scotus_justice,168.774,174.494,But that doesn't mean that I'm willing to have the Democratic Party represent me for all sorts of purposes.,5.719999999999999
