file_name,section,speaker_id,speaker_name,speaker_role,start,stop,text
1956.132,0,15099,earl_warren,scotus_justice,0.0,17.011,"Number 132, Ollie Otto Prince versus United States of America."
1956.132,0,31112,joseph_p_jenkins,,21.888,24.407,May it please the Court.
1956.132,0,15140,william_j_brennan_jr,scotus_justice,200.229,204.614,"Now, 15 years that he had on the second count, does that --"
1956.132,0,31112,joseph_p_jenkins,,204.614,204.626,"Yes, sir."
1956.132,0,15140,william_j_brennan_jr,scotus_justice,204.626,206.104,-- consecutive to the 20 years?
1956.132,0,31112,joseph_p_jenkins,,206.104,206.667,That's correct.
1956.132,0,15099,earl_warren,scotus_justice,282.243,286.796,What is the maximum -- what is the maximum punishment for those crimes?
1956.132,0,31112,joseph_p_jenkins,,286.796,291.086,"The maximum punishment, well, that's the crux of this case."
1956.132,0,15099,earl_warren,scotus_justice,291.086,293.489,"Well, for the -- I mean for the major crime of a bank robbery."
1956.132,0,31112,joseph_p_jenkins,,293.489,303.182,"Major crime in my opinion, if the Court please, in a typical bank robbery is subsection (d) or 25 years."
1956.132,0,15063,stanley_reed,scotus_justice,304.89,307.833,"Well, which -- which one of these did he serve first?"
1956.132,0,31112,joseph_p_jenkins,,307.833,314.413,He is now serving the 20-year sentence which has been imposed on the actual crime of bank robbery.
1956.132,0,15063,stanley_reed,scotus_justice,320.166,321.778,And you brought -- they discovered?
1956.132,0,31112,joseph_p_jenkins,,321.778,322.765,No.
1956.132,0,15063,stanley_reed,scotus_justice,322.765,322.769,(Voice Overlap) --
1956.132,0,31112,joseph_p_jenkins,,322.769,327.146,"Under Rule 35, a motion can be filed any time --"
1956.132,0,15063,stanley_reed,scotus_justice,327.146,327.292,To correct.
1956.132,0,31112,joseph_p_jenkins,,327.292,329.201,-- to correct in legal sentence.
1956.132,0,15063,stanley_reed,scotus_justice,329.201,331.576,And that -- and you're -- you're moving under that.
1956.132,0,31112,joseph_p_jenkins,,331.576,334.356,And this motion was filed in the sentencing court under Rule --
1956.132,0,15063,stanley_reed,scotus_justice,334.356,337.686,You don't have any problem in which one he serves?
1956.132,0,31112,joseph_p_jenkins,,337.686,340.218,"No, that's not the problem at all."
1956.132,0,15140,william_j_brennan_jr,scotus_justice,340.218,342.522,And what is the maximum on that second count?
1956.132,0,31112,joseph_p_jenkins,,342.531,347.148,The maximum on the second count is 20 years.
1956.132,1,18001,beatrice_rosenberg,,1765.988,1768.366,May it please the Court.
1956.132,1,15050,felix_frankfurter,scotus_justice,2285.857,2303.079,"When you're -- when you're saying these cases, Ms. Rosenberg, how -- how many -- what -- what litigation or adjudication has there been in the District Court or in the Court of Appeals on this very statute?"
1956.132,1,18001,beatrice_rosenberg,,2303.079,2305.468,"On this very statute, I was coming to that, Your Honor."
1956.132,1,15050,felix_frankfurter,scotus_justice,2306.665,2312.89,"These generalities, I don't know why -- why everyone spent so much time when Justice Holmes said wildly."
1956.132,1,18001,beatrice_rosenberg,,2322.626,2324.424,"It's more than the power, Your Honor."
1956.132,1,15050,felix_frankfurter,scotus_justice,2328.409,2328.803,All right.
1956.132,1,18001,beatrice_rosenberg,,2328.803,2341.441,-- and the congressional intent in 1937 cannot be judge without referring to the climate of legal thinking of the time.
1956.132,1,15050,felix_frankfurter,scotus_justice,2350.018,2350.197,This bill --
1956.132,1,18001,beatrice_rosenberg,,2350.197,2350.707,-- and submitted --
1956.132,1,15050,felix_frankfurter,scotus_justice,2350.707,2351.444,-- this bill?
1956.132,1,18001,beatrice_rosenberg,,2351.444,2351.965,-- this bill.
1956.132,1,15050,felix_frankfurter,scotus_justice,2351.965,2352.339,Yes.
1956.132,1,18001,beatrice_rosenberg,,2353.136,2354.362,This bill.
1956.132,1,15050,felix_frankfurter,scotus_justice,2683.383,2691.927,"I think your own recitals, Ms. Rosenberg, shows that the mental climate changes even more than the mere erotical climate."
1956.132,1,18001,beatrice_rosenberg,,2710.656,2717.942,"May I suggest, Your Honor, in that the Court of Appeals that they had it, did not do so."
1956.132,1,15099,earl_warren,scotus_justice,2861.096,2862.13,We're going to finish this --
1956.132,1,18001,beatrice_rosenberg,,2862.13,2862.328,"Oh, I'm --"
1956.132,1,15099,earl_warren,scotus_justice,2862.328,2862.764,"-- now, Ms. Rosenberg."
1956.132,1,18001,beatrice_rosenberg,,2862.764,2871.067,"-- sorry, no one told me."
1956.132,1,15050,felix_frankfurter,scotus_justice,2897.564,2901.704,What do you mean by that handled -- what do you mean by handled in the sentencing procedures?
