file_name,section,speaker_name,speaker_role,start,stop,text,total_time
2007.07-77,0,john_g_roberts_jr,scotus_justice,0.0,6.754,"We will hear argument next in Riley, Governor of Alabama, versus Kennedy.",6.754
2007.07-77,0,john_g_roberts_jr,scotus_justice,6.754,11.622,Mr. Newsom.,4.868
2007.07-77,0,kevin_c_newsom,,11.622,22.411,"Mr. Chief Justice, and may it please the Court: This appeal presents two issues, both a threshold jurisdictional question and a substantive question concerning scope of section 5.",10.789000000000001
2007.07-77,0,kevin_c_newsom,,22.411,30.534,We have explained in some detail in our briefs why Governor Riley's appeal in this case is timely and why this Court has jurisdiction to resolve the merit.,8.122999999999998
2007.07-77,0,kevin_c_newsom,,30.534,33.385,The Solicitor General has agreed with us on the jurisdictional question.,2.850999999999999
2007.07-77,0,kevin_c_newsom,,33.385,47.045,"I certainly want to answer any questions that the Court may have concerning the jurisdictional issue, but with the Court's permission I would like to proceed in my affirmative presentation directly to the merits, and specifically the second of two independent bases that we have urged for reversal here.",13.660000000000004
2007.07-77,0,kevin_c_newsom,,47.045,56.317,Our argument under this Court's decision in Young versus Fordice is perhaps the simplest and most straightforward way to resolve this case.,9.271999999999998
2007.07-77,0,kevin_c_newsom,,56.317,88.286,"In Young, this Court held that a state voter registration plan, despite its promulgation, preclearance and active implementation to register 4,000 voters, was nonetheless in force or effect within the meaning of section 5 and thus was not a valid section 5 baseline for purposes of measuring future changes, because the Court said it resulted only from a temporary misapplication of State law and it was immediately corrected upon acknowledgment that it was unlawful in fact.",31.969
2007.07-77,0,john_g_roberts_jr,scotus_justice,88.286,93.19,"It's pretty hard to argue something wasn't in force and effect when they have an election under it, isn't it?",4.903999999999996
2007.07-77,0,kevin_c_newsom,,93.19,109.886,"Your Honor, I don't think... Your Honor is correct that the only possible distinction between Young and this case is the holding of the 1987 election, but I don't think the election can make the difference here, for this reason: It preceded solely by virtue of the vagaries of the State litigation process.",16.695999999999998
2007.07-77,0,kevin_c_newsom,,109.886,113.338,The challenge preceded the election by two months.,3.451999999999998
