file_name,section,speaker_id,speaker_name,speaker_role,start,stop,text
1975.74-5566,0,15073,warren_e_burger,scotus_justice,0.0,14.95,"We will hear arguments first this morning in 74-5566, Barrett against the United States."
1975.74-5566,0,43293,thomas_a_schaffer,,17.063,19.704,Mr. Chief Justice and may it please the Court.
1975.74-5566,0,15073,warren_e_burger,scotus_justice,232.393,252.822,"But you say that Congress has no power to forbid the possession of a firearm shipped at any time in the past in those terms in interstate commerce, the prohibition being limited to certain categories, including convicted felons?"
1975.74-5566,0,43293,thomas_a_schaffer,,252.822,254.816,"No sir, that is not our contention at all."
1975.74-5566,0,15073,warren_e_burger,scotus_justice,254.816,258.724,"So you say that the Congress could do it, but they did not do it here?"
1975.74-5566,0,43293,thomas_a_schaffer,,258.724,260.245,Yes Sir that is exactly what we are saying.
1975.74-5566,0,15141,william_h_rehnquist,scotus_justice,260.245,273.808,"Well, you concede that Congress could make it an offense to buy a pistol that had been in the State of Kentucky for 10 years if 10 years previously that had been shipped in interstate commerce?"
1975.74-5566,0,43293,thomas_a_schaffer,,273.808,283.04,"Your Honor, that is not part of my argument, but I contend that that is most likely what Title VII of the Gun Control Act has done."
1975.74-5566,0,15141,william_h_rehnquist,scotus_justice,283.04,288.783,You do not think there is any problem as to Congress’ authority to do something like I described?
1975.74-5566,0,43293,thomas_a_schaffer,,288.783,308.393,"I would say that Congress has certain limitations as case history is developed, but in this instance, if a gun can be determined to have affected commerce as the cases have reported in the Title VII situations, I feel that that Congress does have that power."
1975.74-5566,1,40310,robert_b_reich,,1810.03,1813.687,Mr. Chief Justice and may it please the Court.
1975.74-5566,1,15043,potter_stewart,scotus_justice,1910.542,1916.838,Do you not perceive any constitutional difficulties at all with reading the statute that way?
1975.74-5566,1,40310,robert_b_reich,,1916.838,1920.124,"No, Mr. Justice Brennan we do not."
1975.74-5566,1,15043,potter_stewart,scotus_justice,1920.124,1920.795,I am not Mr. Justice Brennan.
1975.74-5566,1,40310,robert_b_reich,,1920.795,1922.807,"Mr. Justice Stewart, I apologize."
1975.74-5566,1,15119,lewis_f_powell_jr,scotus_justice,1951.838,1952.444,Mr. Reich.
