file_name,section,speaker_id,speaker_name,speaker_role,start,stop,text
2009.08-1569,0,15086,john_g_roberts_jr,scotus_justice,0.0,5.802,"We'll hear argument next in Case 08-1569, United States v. O'Brien."
2009.08-1569,0,17700,benjamin_j_horwich,,6.487,19.462,"Mr. Chief Justice, and may it please the Court: Section 924(c)(1) starts by defining a single crime of using or carrying a firearm during and in relation to a crime of violence or a drug trafficking crime."
2009.08-1569,0,15049,antonin_scalia,scotus_justice,40.191,40.641,Well wait.
2009.08-1569,0,17700,benjamin_j_horwich,,54.549,55.549,"--Well, no, and, of course--"
2009.08-1569,0,15049,antonin_scalia,scotus_justice,55.549,56.799,"I mean, (A) says,"
2009.08-1569,0,17700,benjamin_j_horwich,,63.166,67.987,"--Well, I agree with you that the phrase (A) as well."
2009.08-1569,0,15049,antonin_scalia,scotus_justice,87.08,102.791,"So does -- so does the language of (A)(ii) and (A)(iii), which is the same language: ""if the firearm is brandished""; ""if the firearm is discharged"" -- they all apply to a conviction for carrying the firearm."
2009.08-1569,0,17700,benjamin_j_horwich,,105.057,105.524,"--Well, I agree."
2009.08-1569,0,15049,antonin_scalia,scotus_justice,107.343,109.028,So that makes (A) the same as (B).
2009.08-1569,0,17700,benjamin_j_horwich,,114.08,119.051,"--Well, I certainly don't claim that they -- that the elements in the principal paragraph of (A) are."
2009.08-1569,0,15131,sonia_sotomayor,scotus_justice,137.012,139.564,"No, but you're forgetting the words of this subsection."
2009.08-1569,0,17700,benjamin_j_horwich,,140.347,140.947,--Well--
2009.08-1569,0,15131,sonia_sotomayor,scotus_justice,140.947,142.249,--the subsection would be (B) itself.
2009.08-1569,0,17700,benjamin_j_horwich,,161.561,164.013,"--Well, I agree it doesn't use ""subparagraph""."
2009.08-1569,0,15049,antonin_scalia,scotus_justice,214.262,226.986,"But still and all, if -- if Congress were being precise and if the statute is to be read the way you suggest, the introduction to capital (B) should have been"
2009.08-1569,0,17700,benjamin_j_horwich,,242.579,246.781,--That -- that I think would be so precise that we wouldn't be here discussing it today.
2009.08-1569,0,15049,antonin_scalia,scotus_justice,266.362,266.895,Yes.
2009.08-1569,0,17700,benjamin_j_horwich,,266.895,271.598,--which is not then to say that this subsection -- that everything in this subsection is an element.
2009.08-1569,0,15049,antonin_scalia,scotus_justice,272.998,280.454,"I guess I agree with you that if (B) is -- if (B) is an element, (C) would be an element, too."
2009.08-1569,0,17700,benjamin_j_horwich,,280.454,283.004,"Well, that certainly would be the inference."
2009.08-1569,0,15139,stephen_g_breyer,scotus_justice,305.953,321.448,"What is this to do -- I mean, the obvious question, to me, is -- since I wrote the -- I think I wrote the opinion in Castillo -- is we looked at the language of the statute, very similar to this, and we said: Machinegun means a separate crime."
2009.08-1569,0,17700,benjamin_j_horwich,,346.58,350.781,"--Well, I think there are -- there are several specific changes that Congress made."
2009.08-1569,0,15049,antonin_scalia,scotus_justice,367.576,368.343,Right.
2009.08-1569,0,17700,benjamin_j_horwich,,368.343,374.897,"And then the new statute is in the appendix to the government's opening brief at 1a and 2a, so you can look at them side by side."
2009.08-1569,0,15049,antonin_scalia,scotus_justice,374.897,377.015,"Isn't the old one in your brief, too, in your--"
2009.08-1569,0,17700,benjamin_j_horwich,,377.015,377.615,It is.
2009.08-1569,0,15049,antonin_scalia,scotus_justice,377.615,379.217,--It's 3a of the government's brief.
2009.08-1569,0,17700,benjamin_j_horwich,,379.217,381.367,"It is, although, of course, you have to turn the page, and I--"
2009.08-1569,0,15049,antonin_scalia,scotus_justice,381.367,382.253,All right.
2009.08-1569,0,17700,benjamin_j_horwich,,382.869,386.121,"--Perhaps it's helpful to look at them next to each other, because the differences are quite stark--"
2009.08-1569,0,15049,antonin_scalia,scotus_justice,386.121,386.655,All right.
2009.08-1569,0,17700,benjamin_j_horwich,,386.655,387.188,--when you do that.
2009.08-1569,0,15131,sonia_sotomayor,scotus_justice,433.018,433.701,But it didn't.
2009.08-1569,0,17700,benjamin_j_horwich,,482.701,485.084,--So a few answers there.
2009.08-1569,0,15049,antonin_scalia,scotus_justice,530.199,545.859,"Well, except that with -- with (C), you -- you could say that traditionally recidivism has been a sentencing factor, and you cannot say with respect to (B) that whether it's a short-barreled rifle or a machinegun has traditionally been a sentencing factor."
2009.08-1569,0,17700,benjamin_j_horwich,,547.811,560.968,"--Well, I disagree with that, Justice Scalia, because the tradition, as I understand it, is relevant because it might indicate what Congress was thinking or what suppositions it had in mind when it passed a statute."
2009.08-1569,0,15049,antonin_scalia,scotus_justice,604.413,605.497,Let's -- let's talk about the guidelines.
2009.08-1569,0,17700,benjamin_j_horwich,,616.788,623.292,"Well, the guidelines -- as before and as now for this offense, the guidelines level is the minimum."
2009.08-1569,0,15049,antonin_scalia,scotus_justice,623.292,634.648,"The guidelines -- do you think that if under the guidelines the sentence was 30 years because of a machinegun, do you think that that would be upheld?"
2009.08-1569,0,17700,benjamin_j_horwich,,634.648,636.433,I'm sorry.
2009.08-1569,0,15049,antonin_scalia,scotus_justice,638.0,649.859,Do you think it would be upheld as a reasonable sentence under our Booker/Fanfan theory of -- of how the guidelines are to be applied?
2009.08-1569,0,17700,benjamin_j_horwich,,649.859,664.083,"--A reasonable -- well, certainly courts have, since Booker, imposed even up to a life sentence for offenses that did not otherwise trigger the elevated minimums."
